"","Customer_ID","Credit_Amount","Purpose_Credit_Taken","Duration_in_Months","Status_Checking_Accnt","Credit_History","Job_Status","Years_At_Present_Employment","Marital_Status_Gender","Other_Debtors_Guarantors","Current_Address_Yrs","Age","Housing","Num_Credits","Num_Dependents","Foreign_Worker","Default_On_Payment","Dummy_Job_Status_A171","Dummy_Job_Status_A172","Dummy_Job_Status_A173","Dummy_Purpose_Credit_Taken_Low","Dummy_Purpose_Credit_Taken_High","Dummy_Status_Checking_Accnt_High","Dummy_Status_Checking_Accnt_Medium","Dummy_Credit_History_High","Dummy_Credit_History_Low","Dummy_Years_At_Present_Employment_High","Dummy_Years_At_Present_Employment_Medium","Dummy_Marital_Status_Gender","Dummy_Other_Debtors_Guarantors","Dummy_Housing","Dummy_Foreign_Worker","Dummy_Age_Group","Dummy_Credit_Amount","Dummy_Current_Address_Yrs","Predicted_Probability"
"4397","C19397",2146,"P42",10,"S14","A34","A173","E72","A92","A101",3,23,"A151",2,1,"A201",0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0.147947912237731
"1720","C16720",1092,"P43",12,"S12","A32","A173","E73","A92","A103",4,49,"A152",2,1,"A201",0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0.148676648019088
"4884","C19884",3345,"P42",24,"S11","A32","A174","E75","A93","A101",2,39,"A151",1,1,"A201",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0.591658592333925
"4260","C19260",6224,"P46",48,"S12","A33","A173","E75","A93","A101",4,50,"A153",1,1,"A201",1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0.659587662226173
"1093","C16093",4151,"P42",24,"S14","A33","A173","E73","A93","A101",3,35,"A152",2,1,"A201",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0.156016974968144
"3458","C18458",2964,"P41",24,"S11","A32","A173","E75","A93","A101",4,49,"A153",1,2,"A201",0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0.443444091625029
"66","C15066",1098,"P43",18,"S14","A34","A171","E71","A92","A101",4,65,"A152",2,1,"A201",0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0811956591341619
"2760","C17760",1884,"P40",12,"S14","A32","A174","E75","A93","A101",4,39,"A152",1,1,"A201",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.110305290232065
"3423","C18423",2631,"P40",15,"S12","A32","A173","E73","A92","A101",4,28,"A151",2,1,"A201",1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0.470035475858885
"1945","C16945",2762,"P42",12,"S12","A32","A173","E75","A92","A101",2,25,"A152",1,1,"A201",1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0.362720784592558
"858","C15858",2647,"P43",6,"S11","A32","A173","E73","A93","A101",3,44,"A151",1,2,"A201",0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0.304410135662704
"80","C15080",1453,"P43",18,"S14","A32","A174","E72","A92","A101",1,26,"A152",1,1,"A201",0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0.106748718227311
"4852","C19852",4771,"P43",11,"S12","A33","A173","E74","A93","A101",4,51,"A152",1,1,"A201",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.180651796609543
"3855","C18855",2659,"P42",18,"S11","A32","A173","E73","A93","A101",2,28,"A152",1,1,"A201",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0.456954021341531
"3931","C18931",7476,"P46",48,"S11","A32","A174","E74","A93","A101",1,50,"A153",1,1,"A201",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0.689746790166031
"2284","C17284",4139,"P49",24,"S14","A34","A172","E73","A93","A101",3,27,"A152",2,1,"A201",0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0.0862113939182156
"924","C15924",1311,"P43",24,"S14","A32","A173","E74","A94","A101",3,26,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0922732073318229
"2060","C17060",1382,"P43",6,"S14","A34","A173","E73","A92","A101",1,28,"A152",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0.026294152614619
"3370","C18370",1657,"P42",12,"S11","A32","A173","E73","A93","A101",2,27,"A152",1,1,"A201",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0.407975552284858
"4451","C19451",2991,"P43",30,"S12","A32","A173","E75","A92","A101",4,25,"A152",1,1,"A201",0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0.362990431107034
"437","C15437",9271,"P40",36,"S11","A32","A173","E74","A93","A101",1,24,"A152",1,1,"A201",1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0.513938625548174
"1180","C16180",1534,"P43",12,"S12","A32","A173","E72","A94","A101",1,23,"A151",1,1,"A201",1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0.251530593703177
"1519","C16519",2835,"P42",24,"S14","A32","A173","E75","A93","A101",4,53,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.156016974968144
"1090","C16090",2292,"P49",12,"S14","A34","A174","E71","A93","A101",2,42,"A152",2,1,"A201",1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0.087466277277957
"1977","C16977",3074,"P43",9,"S14","A34","A173","E73","A93","A101",2,33,"A152",2,2,"A201",0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0.0305269544339886
"1537","C16537",1236,"P41",6,"S14","A32","A173","E73","A93","A101",4,50,"A151",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0.0729880922234015
"510","C15510",1255,"P40",12,"S14","A34","A172","E75","A93","A101",4,61,"A152",2,1,"A201",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0.059510045437248
"198","C15198",3422,"P42",18,"S14","A32","A173","E75","A93","A101",4,47,"A152",3,2,"A201",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.131484434702704
"1103","C16103",1820,"P40",18,"S14","A32","A174","E73","A94","A101",2,30,"A152",1,1,"A201",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0.131484434702704
"4064","C19064",3650,"P42",18,"S11","A32","A173","E72","A92","A101",4,22,"A151",1,1,"A201",0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0.711654621196058
"2049","C17049",3181,"P43",24,"S14","A32","A173","E72","A92","A101",4,26,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.174530529349893
"2004","C17004",2247,"P40",12,"S13","A33","A173","E73","A92","A101",2,36,"A152",2,1,"A201",0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0.14547101254588
"3139","C18139",1659,"P43",24,"S11","A33","A172","E72","A92","A101",2,29,"A151",1,1,"A201",1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0.623666751802708
"2799","C17799",3990,"P44",36,"S12","A31","A171","E72","A92","A101",2,29,"A152",1,1,"A201",0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0.83387078891466
"208","C15208",2859,"P40",12,"S14","A32","A174","E71","A93","A101",4,38,"A152",1,1,"A201",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0.15811212861172
"2912","C17912",1410,"P48",12,"S12","A30","A172","E73","A93","A101",2,31,"A152",1,1,"A201",0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0.373796389630053
"4869","C19869",1361,"P40",6,"S11","A34","A172","E72","A93","A101",4,40,"A152",1,2,"A202",0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0.112763544212031
"3702","C18702",5511,"P42",24,"S14","A32","A173","E73","A93","A101",1,25,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.113148564707936
"4779","C19779",1264,"P40",15,"S12","A31","A173","E73","A94","A101",2,25,"A151",1,1,"A201",1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0.628463387574902
"583","C15583",1533,"P42",18,"S14","A32","A172","E72","A94","A102",1,43,"A152",1,2,"A201",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.136647182606115
"1235","C16235",1893,"P40",12,"S11","A32","A173","E73","A92","A103",4,29,"A152",1,1,"A201",0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0.345538339795413
"528","C15528",4272,"P42",20,"S11","A34","A173","E75","A92","A101",4,24,"A152",2,1,"A201",0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.386603680746969
"2467","C17467",4280,"P49",30,"S12","A30","A172","E73","A92","A101",4,26,"A151",2,1,"A201",1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0.792819786319281
"2349","C17349",1474,"P40",24,"S14","A32","A173","E72","A94","A101",3,33,"A152",1,1,"A201",0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0.218764052120376
"2879","C17879",1520,"P42",15,"S14","A34","A173","E75","A93","A101",4,63,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0653514403173541
"1301","C16301",14318,"P40",36,"S12","A32","A174","E75","A93","A101",2,57,"A153",1,1,"A201",1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0.565127458883794
"2531","C17531",338,"P43",6,"S11","A34","A173","E75","A93","A101",4,52,"A152",2,1,"A201",0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.136729738227268
"4140","C19140",1275,"P42",10,"S13","A32","A173","E72","A92","A101",2,23,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.194369226750663
"3104","C18104",5866,"P40",18,"S12","A32","A173","E73","A93","A101",2,30,"A152",2,1,"A201",0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0.336060911421833
"317","C15317",454,"P45",6,"S12","A32","A172","E72","A94","A101",1,22,"A152",1,1,"A201",0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0.261945535384495
"4887","C19887",1108,"P45",12,"S11","A30","A173","E74","A93","A101",3,28,"A152",2,1,"A201",1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0.643444182976917
"4503","C19503",1755,"P50",24,"S11","A32","A172","E75","A92","A103",4,58,"A152",1,1,"A201",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0.440471068476127
"1417","C16417",6070,"P43",18,"S14","A34","A173","E75","A93","A101",4,33,"A152",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0.0407557644486945
"3062","C18062",3235,"P43",24,"S14","A32","A174","E75","A91","A101",2,26,"A152",1,1,"A201",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.122481642461881
"18","C15018",14896,"P40",6,"S11","A32","A174","E75","A93","A101",4,68,"A152",1,1,"A201",1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0.360759287574476
"3219","C18219",915,"P40",24,"S11","A32","A173","E75","A92","A101",2,29,"A152",1,1,"A201",1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0.585203389657111
"1930","C16930",5848,"P43",36,"S13","A32","A173","E73","A93","A101",1,24,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.0947011540665535
"3004","C18004",2333,"P42",24,"S12","A33","A172","E72","A93","A101",2,29,"A152",1,1,"A201",0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0.483534853956164
"2777","C17777",14179,"P42",39,"S11","A34","A174","E74","A93","A101",4,30,"A152",2,1,"A201",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0.463518087988342
"2383","C17383",3573,"P43",12,"S12","A34","A172","E73","A92","A101",1,23,"A152",1,1,"A201",0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0.0992993296545254
"2931","C17931",1402,"P42",12,"S14","A34","A173","E74","A92","A101",4,37,"A151",1,1,"A201",0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0.109145912325517
"2737","C17737",3380,"P40",4,"S14","A34","A173","E74","A92","A101",1,37,"A152",1,2,"A201",0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0.0439264960468553
"1205","C16205",14555,"P40",6,"S12","A32","A171","E71","A93","A101",2,23,"A152",1,1,"A201",1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0.339601000401777
"405","C15405",1768,"P42",12,"S14","A32","A172","E73","A93","A101",2,24,"A151",1,1,"A201",0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0.14881588529005
"4004","C19004",1271,"P43",15,"S13","A34","A173","E73","A93","A101",4,39,"A153",2,1,"A201",1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0.0514313989216324
"3063","C18063",6416,"P49",48,"S12","A31","A173","E75","A92","A101",3,59,"A151",1,1,"A201",1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0.874483403043177
"2548","C17548",4249,"P40",30,"S12","A34","A174","E71","A94","A101",2,28,"A152",2,1,"A201",1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0.36847043331136
"499","C15499",3104,"P49",18,"S11","A30","A173","E74","A93","A101",1,31,"A152",1,1,"A201",0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0.603307531381451
"2287","C17287",2326,"P49",15,"S12","A34","A173","E73","A93","A101",4,27,"A152",1,1,"A201",0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0.189480073524921
"1092","C16092",2864,"P42",18,"S13","A32","A172","E73","A93","A101",1,34,"A152",1,2,"A201",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0946012081483947
"3732","C18732",2603,"P41",24,"S14","A32","A173","E73","A92","A101",4,28,"A151",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0.164457531955865
"4693","C19693",428,"P42",6,"S11","A32","A173","E75","A92","A101",1,49,"A152",1,1,"A201",0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.348457704288415
"981","C15981",1228,"P40",12,"S11","A32","A172","E73","A92","A101",2,24,"A152",1,1,"A201",1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0.48618157719108
"540","C15540",1471,"P43",15,"S14","A34","A173","E73","A93","A101",4,35,"A153",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0.0514313989216324
"1354","C16354",9857,"P49",36,"S12","A33","A172","E74","A93","A101",3,31,"A152",2,2,"A201",0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0.479583959413556
"3014","C18014",2996,"P42",24,"S11","A32","A173","E73","A94","A101",4,20,"A152",1,1,"A201",1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0.506779146574888
"4114","C19114",2333,"P43",30,"S14","A32","A174","E75","A93","A101",2,30,"A152",1,1,"A201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.110419804040948
"2966","C17966",1469,"P40",24,"S14","A32","A172","E75","A94","A101",4,41,"A151",1,1,"A201",0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0.20677762631139
"2092","C17092",1240,"P40",10,"S13","A32","A172","E75","A92","A101",4,48,"A153",1,2,"A201",1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0.18340563967566
"1808","C16808",1995,"P40",12,"S12","A34","A173","E72","A93","A101",1,27,"A152",1,1,"A201",0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0.181119533784234
"3932","C18932",6229,"P42",36,"S11","A34","A172","E72","A92","A102",4,23,"A151",2,1,"A201",1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0.696353399720657
"498","C15498",2687,"P49",15,"S13","A32","A173","E74","A93","A101",4,26,"A151",1,1,"A201",0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0.161914208802844
"312","C15312",3249,"P40",36,"S11","A32","A174","E74","A93","A101",4,39,"A153",1,2,"A201",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0.683582560245265
"3682","C18682",1882,"P43",18,"S11","A32","A173","E73","A92","A101",4,25,"A151",2,1,"A201",1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0.472559486343046
"1758","C16758",1092,"P43",12,"S12","A32","A173","E73","A92","A103",4,49,"A152",2,1,"A201",0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0.148676648019088
"176","C15176",1715,"P43",30,"S12","A32","A173","E73","A92","A101",1,26,"A152",1,1,"A201",0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0.28227262700841
"2680","C17680",1804,"P41",12,"S12","A34","A173","E72","A93","A101",4,44,"A152",1,1,"A201",0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0.149822392595267
"1939","C16939",2002,"P40",12,"S12","A32","A173","E74","A93","A101",4,30,"A151",1,2,"A201",0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0.3689044670016
"4823","C19823",4712,"P49",24,"S12","A33","A174","E73","A93","A101",2,37,"A152",2,1,"A201",0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0.381976234220843
"1120","C16120",625,"P43",12,"S12","A32","A172","E72","A94","A103",1,26,"A152",1,1,"A201",0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0.117367877078346
"651","C15651",7057,"P41",20,"S12","A33","A174","E74","A93","A101",4,36,"A151",2,2,"A201",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.295538275855205
"473","C15473",1867,"P43",30,"S14","A32","A173","E75","A93","A101",4,58,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.110419804040948
"4244","C19244",14027,"P40",60,"S12","A32","A174","E74","A93","A101",2,27,"A152",1,1,"A201",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0.671991961229026
"2264","C17264",1344,"P40",24,"S13","A34","A172","E74","A93","A101",2,37,"A152",2,2,"A201",1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0862113939182156
"581","C15581",6313,"P41",24,"S14","A32","A174","E75","A93","A101",4,41,"A152",1,2,"A201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0922732073318229
"701","C15701",1526,"P41",12,"S11","A34","A174","E75","A93","A101",4,66,"A153",2,1,"A201",0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0.214285514660529
"3146","C18146",1602,"P40",21,"S11","A34","A173","E75","A94","A101",3,30,"A152",2,1,"A201",0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0.321829718386664
"2177","C17177",2503,"P49",30,"S12","A33","A173","E75","A93","A101",2,41,"A152",2,1,"A201",0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0.430101007556077
"3553","C18553",1928,"P42",18,"S12","A34","A172","E72","A93","A101",2,31,"A152",2,1,"A201",1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0.281255341622145
"2779","C17779",8072,"P49",30,"S11","A30","A173","E72","A93","A101",3,25,"A152",3,1,"A201",0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0.83269054976689
"54","C15054",6313,"P41",24,"S14","A32","A174","E75","A93","A101",4,41,"A152",1,2,"A201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0922732073318229
"4882","C19882",1331,"P43",12,"S12","A32","A173","E72","A93","A101",1,22,"A152",1,1,"A201",1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0.192449219834364
"3676","C18676",2301,"P42",9,"S14","A32","A173","E72","A92","A101",4,22,"A151",1,1,"A201",0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0.247601353254138
"2604","C17604",1330,"P40",12,"S13","A32","A173","E72","A93","A101",1,26,"A152",1,1,"A201",0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0.114746306397475
"443","C15443",2993,"P41",21,"S14","A33","A172","E73","A93","A101",2,28,"A152",2,1,"A201",0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0.0842423219804137
"3794","C18794",1313,"P42",9,"S14","A32","A173","E75","A93","A101",4,20,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.100879418587663
"2782","C17782",5096,"P42",48,"S12","A34","A174","E73","A92","A101",3,30,"A152",1,1,"A201",1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0.490544352067905
"612","C15612",2859,"P40",12,"S14","A32","A174","E71","A93","A101",4,38,"A152",1,1,"A201",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0.15811212861172
"3068","C18068",3913,"P43",36,"S13","A32","A173","E73","A93","A101",2,23,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0.131617683018143
"3879","C18879",11560,"P41",24,"S12","A32","A174","E73","A92","A101",4,23,"A151",2,1,"A201",1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.396892556433756
"4922","C19922",3114,"P42",18,"S11","A30","A173","E72","A92","A101",4,26,"A151",1,1,"A201",1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0.866008560855106
"4327","C19327",2278,"P40",18,"S12","A30","A173","E72","A92","A101",3,28,"A152",2,1,"A201",1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0.733826486670924
"4652","C19652",2384,"P43",24,"S11","A32","A172","E75","A93","A101",4,64,"A151",1,1,"A201",0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0.443444091625029
"917","C15917",8858,"P41",48,"S14","A34","A173","E74","A93","A101",1,35,"A153",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0.100923853429802
"4308","C19308",1228,"P40",12,"S11","A32","A172","E73","A92","A101",2,24,"A152",1,1,"A201",1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0.48618157719108
"3110","C18110",866,"P43",18,"S12","A32","A172","E73","A94","A103",2,25,"A152",1,1,"A201",0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.134430344830141
"4801","C19801",2862,"P40",36,"S12","A33","A173","E75","A93","A101",3,30,"A153",1,1,"A201",0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0.565127458883794
"2245","C17245",6143,"P41",48,"S11","A34","A172","E75","A92","A101",4,58,"A153",2,1,"A201",1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0.55382698175467
"3332","C18332",4439,"P49",18,"S12","A32","A174","E75","A93","A102",1,33,"A152",1,1,"A201",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.258897596872192
"3117","C18117",1393,"P46",12,"S14","A32","A173","E75","A93","A101",4,47,"A152",3,2,"A201",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.110305290232065
"4633","C19633",1050,"P42",6,"S12","A33","A174","E71","A93","A101",1,35,"A152",2,1,"A201",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.261945535384495
"1563","C16563",1842,"P40",36,"S11","A32","A173","E72","A92","A101",4,34,"A152",1,1,"A201",1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0.761135362977902
"209","C15209",709,"P40",6,"S13","A32","A171","E72","A94","A101",2,27,"A152",1,1,"A202",0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0.0428819847964312
"3273","C18273",1123,"P42",12,"S14","A32","A172","E73","A92","A101",4,29,"A151",1,1,"A201",1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0.193587518245133
"3788","C18788",1360,"P43",15,"S14","A34","A173","E73","A93","A101",2,31,"A152",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0.0370257461679233
"2225","C17225",433,"P46",6,"S12","A31","A173","E72","A92","A101",2,24,"A151",1,2,"A201",1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0.722795972012912
"3493","C18493",1217,"P44",18,"S11","A32","A172","E73","A94","A101",3,47,"A152",1,1,"A201",1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0.456954021341531
"2391","C17391",5433,"P41",24,"S14","A32","A174","E71","A92","A101",4,26,"A151",1,1,"A201",0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0.22967545075133
"2738","C17738",1935,"P42",12,"S14","A34","A173","E75","A93","A101",4,43,"A152",3,1,"A201",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.059510045437248
"2094","C17094",338,"P43",6,"S11","A34","A173","E75","A93","A101",4,52,"A152",2,1,"A201",0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.136729738227268
"3123","C18123",2247,"P40",12,"S13","A33","A173","E73","A92","A101",2,36,"A152",2,1,"A201",0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0.14547101254588
"3698","C18698",3399,"P43",12,"S13","A32","A174","E75","A93","A101",3,37,"A152",1,1,"A201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0638255324815497
"3358","C18358",571,"P40",21,"S11","A34","A173","E75","A93","A101",4,65,"A152",2,1,"A201",0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0.321829718386664
"293","C15293",6568,"P49",24,"S11","A32","A172","E73","A94","A101",2,21,"A152",1,1,"A201",0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0.506779146574888
"4283","C19283",6288,"P46",60,"S12","A32","A173","E73","A93","A101",4,42,"A153",1,1,"A201",1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0.742865587989303
"214","C15214",683,"P43",6,"S13","A33","A173","E72","A92","A101",1,29,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0.0742030819752843
"3543","C18543",2580,"P49",21,"S14","A33","A172","E72","A93","A101",2,41,"A152",1,2,"A201",1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0.202176198728489
"4446","C19446",5103,"P43",24,"S14","A34","A173","E72","A94","A101",3,47,"A153",3,1,"A201",0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0.0997660307348837
